protocol,network,contract_address,contract_name,type,signature
Aave V3,nan,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,,event,"AdminChanged(address previousAdmin, address newAdmin)"
Aave V3,nan,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,,event,Upgraded(address implementation)
Aave V3,nan,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,,function,admin()
Aave V3,nan,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,,function,changeAdmin(address newAdmin)
Aave V3,nan,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,,function,implementation()
Aave V3,nan,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,,function,"initialize(address _logic, address _admin, bytes _data)"
Aave V3,nan,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,,function,"initialize(address _logic, bytes _data)"
Aave V3,nan,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,,function,upgradeTo(address newImplementation)
Aave V3,nan,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,,function,"upgradeToAndCall(address newImplementation, bytes data)"
Lido,nan,0x5a98fcbea516cf06857215779fd812ca3bef1b32,,event,"ClaimedTokens(address _token, address _controller, uint256 _amount)"
Lido,nan,0x5a98fcbea516cf06857215779fd812ca3bef1b32,,event,"Transfer(address _from, address _to, uint256 _amount)"
Lido,nan,0x5a98fcbea516cf06857215779fd812ca3bef1b32,,event,"NewCloneToken(address _cloneToken, uint256 _snapshotBlock)"
Lido,nan,0x5a98fcbea516cf06857215779fd812ca3bef1b32,,event,"Approval(address _owner, address _spender, uint256 _amount)"
Lido,nan,0x5a98fcbea516cf06857215779fd812ca3bef1b32,,function,name()
Lido,nan,0x5a98fcbea516cf06857215779fd812ca3bef1b32,,function,"approve(address _spender, uint256 _amount)"
Lido,nan,0x5a98fcbea516cf06857215779fd812ca3bef1b32,,function,creationBlock()
Lido,nan,0x5a98fcbea516cf06857215779fd812ca3bef1b32,,function,totalSupply()
Lido,nan,0x5a98fcbea516cf06857215779fd812ca3bef1b32,,function,"transferFrom(address _from, address _to, uint256 _amount)"
Lido,nan,0x5a98fcbea516cf06857215779fd812ca3bef1b32,,function,decimals()
Lido,nan,0x5a98fcbea516cf06857215779fd812ca3bef1b32,,function,changeController(address _newController)
Lido,nan,0x5a98fcbea516cf06857215779fd812ca3bef1b32,,function,"balanceOfAt(address _owner, uint256 _blockNumber)"
Lido,nan,0x5a98fcbea516cf06857215779fd812ca3bef1b32,,function,version()
Lido,nan,0x5a98fcbea516cf06857215779fd812ca3bef1b32,,function,"createCloneToken(string _cloneTokenName, uint8 _cloneDecimalUnits, string _cloneTokenSymbol, uint256 _snapshotBlock, bool _transfersEnabled)"
Lido,nan,0x5a98fcbea516cf06857215779fd812ca3bef1b32,,function,balanceOf(address _owner)
Lido,nan,0x5a98fcbea516cf06857215779fd812ca3bef1b32,,function,parentToken()
Lido,nan,0x5a98fcbea516cf06857215779fd812ca3bef1b32,,function,"generateTokens(address _owner, uint256 _amount)"
